6107	obj_t_armor																					6107	6107	size_diminutive			mat_metal			10				16033																OIF_IS_MAGICAL OIF_NO_NPC_PICKUP	0	1900000	228		20164						OIF_WEAR_RING_PRIMARY OIF_WEAR_RING_SECONDARY OIF_WEAR_RING_PRIMARY OIF_WEAR_RING_SECONDARY OIF_WEAR_NECKLACE																		100																																																																																									Armor Bonus	0	0	Necklace of Adaptation																																																																																																																																																																		
6127	obj_t_armor																						6127	size_diminutive			mat_metal			10				16033																OIF_IS_MAGICAL	0	1900000	319		20164																								100																																																																																									Armor Bonus	0	0	Prayer Beads	0	0																																																																																																																																																																
14050	obj_t_npc					110																14050	14050	size_medium			mat_flesh			5			1.5	1006	22.000000																																																																OCF_ANIMAL OCF_MUTE OCF_NO_FLEE		13	15	15	2	12	6			male				align_true_neutral										3730							5		1	1d6+1	Bite	3																	ONF_NO_EQUIP					1	3	3	0	2	2d8	mc_type_animal					Monster Stable			Tripping Bite																																																																			Spot	4	Listen	4	Hide	1	Move Silently	2	Survival	8											Track																																																																											
14262	obj_t_npc																					14262	14262	size_large			mat_flesh			8				1109	27																																																																OCF_MONSTER OCF_NO_FLEE		23	14	23	6	9	6			male				align_chaotic_evil										4250					14262		10		2	1d6+6	Claw	9	1	1d6+3	Bite	4													ONF_KOS					5	2	5	2	5	6d8	mc_type_giant					Monster Regeneration 5	Fire	Acid	Rend																																																																			Listen	8	Spot	10																	Alertness	Iron Will	Track																																																																									
14280	obj_t_npc					120																	14280	size_medium			mat_gas			11				1118	35	108																																																															OCF_UNDEADOCF_MUTEOCF_NO_FLEE		15	14	12	18	9	17			female				align_chaotic_evil										4030					14280		10		2	1d8+2	Claw	10																	ONF_KOSONF_NO_EQUIP					6	7	7	7		10d8+40	mc_type_undead	mc_subtype_incorporeal				Monster Untripable			Monster Energy Immunity	Fire		Monster Incorporeal			Monster Banshee Charisma Drain																																																													Hide	8	Listen	8	Spot	8	Search	8																																																																			'Fear' domain_special 5	'Fear' domain_special 5																				
14350	obj_t_npc					50																14350	14350	size_medium			mat_flesh			8				1109																																																																	OCF_MONSTER OCF_MUTE OCF_NO_FLEE		20	16	21	6	9	6			male				align_chaotic_neutral										4250					14350		5		2	1d6+5	Claw	9	1	1d6+2	Bite	4													ONF_KOS ONF_NO_EQUIP					4	2	5	2	5	6d8	mc_type_giant					Monster Regeneration 5	Fire	Acid	Rend																																																																			Listen	8	Spot	10																	Alertness	Iron Will	Track																																																																									
14352	obj_t_npc					200																14352	14352	size_large			mat_flesh			5			1.5	1006	45																																																																OCF_ANIMAL OCF_NO_FLEE		17	15	15	6	14	10			male				align_neutral_evil										3730							5		1	1d6+4	Bite	7																	ONF_NO_EQUIP					2	4	4	1	2	4d10	mc_type_magical_beast					Monster Stable			Tripping Bite																																																																			Spot	4	Listen	4	Hide	4	MOve Silently	8	Survival	8											Alertness	Track																																																																										
14391	obj_t_npc					150																14391	14391	size_large			mat_flesh			5			1.5	1006	30.000000																																																																OCF_ANIMAL OCF_MUTE OCF_NO_FLEE		25	15	17	2	12	10			male				align_true_neutral										3730							5		1	1d8+10	Bite	11																	ONF_NO_EQUIP					3	4	4	4	3	6d8	mc_type_animal					Monster Stable			Tripping Bite																																																																			Spot	10	Listen	10	Hide	2	Move Silently	6	Survival	12											Alertness	Track	Weapon Focus (Unarmed strike - medium-sized being)																																																																									
14406	obj_t_npc																					14406	14406	size_medium			mat_flesh			9			1.5	1006	20.000000																																																																OCF_ANIMAL OCF_MUTE OCF_NO_FLEE		13	15	15	3	12	6			male				align_lawful_evil										3730							5		1	1d6+1	Bite	3																	ONF_NO_EQUIP					1	3	3	0	2	2d8	mc_type_magical_beast	mc_subtype_extraplanar				Monster Energy Resistance	Cold	5	Monster Energy Resistance	Fire	5	Monster Spell Resistance	7		Monster Smiting			Monster Stable			Tripping Bite																																																							Spot	4	Listen	4	Hide	0	MOve Silently	2	Survival	8											Track																																																																											
14408	obj_t_npc					130																14408	14408	size_large			mat_flesh			9			1.5	1006	20.000000																																																																OCF_ANIMAL OCF_MUTE OCF_NO_FLEE		25	15	17	3	12	10			male				align_lawful_evil										3730							5		1	1d8+10	Bite	11																	ONF_NO_EQUIP					4	5	5	5	3	6d8	mc_type_magical_beast	mc_subtype_extraplanar				Monster Energy Resistance	Fire	5	Monster Energy Resistance	Cold	5	Monster Spell Resistance	11		Monster Smiting			Monster DR Magic	5		Monster Stable			Tripping Bite																																																				Spot	8	Listen	8	Hide	4	MOve Silently	4	Survival	10											Alertness	Track	Improved Trip																																																																									
