ft-Fists of Iron	New Emitter			perm	30		Node Pos	bip01 r hand			Disc	World	Polar		strike	15	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0?360	0	0	64,0	47	79	79						2
ft-Fists of Iron	New Emitter			perm	30		Node Pos	bip01 l hand			Disc	World	Polar		strike	15	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0?360	0	0	64,0	47	79	79						2
ft-Axiomatic Strike	New Emitter			perm	30		Node Pos	bip01 r hand			Disc	World	Polar		strike	15	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0?360	0	0	64,0	255	0	255						2
ft-Axiomatic Strike	New Emitter			perm	30		Node Pos	bip01 l hand			Disc	World	Polar		strike	15	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0?360	0	0	64,0	255	0	255						2
ft-Fiery Fist	burn			perm	10		Node Pos	bip01 r hand			Sprite				fire-sprite	60	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,30	0	-5?5	-5?5	-5?5	2?10	0	0	0?360	0	0	0,255,0	255	80	128						10
ft-Fiery Fist	burn			perm	10		Node Pos	bip01 l hand			Sprite				fire-sprite	60	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,30	0	-5?5	-5?5	-5?5	2?10	0	0	0?360	0	0	0,255,0	255	80	128						10
ft-Fiery Ki Defense	burn			perm	10		Node Pos	bip01 spine1			Sprite				fire-sprite	60	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,30	0	-5?5	-5?5	-5?5	2?10	0	0	0?360	0	0	0,255,0	255	80	128						10
ft-Fiery Ki Defense	burn			perm	10		Node Pos	bip01 L calf			Sprite				fire-sprite	60	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,30	0	-5?5	-5?5	-5?5	2?10	0	0	0?360	0	0	0,255,0	255	80	128						10
ft-Fiery Ki Defense	burn			perm	10		Node Pos	bip01 R calf			Sprite				fire-sprite	60	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,30	0	-5?5	-5?5	-5?5	2?10	0	0	0?360	0	0	0,255,0	255	80	128						10
ft-Fiery Ki Defense1	burn			perm	10		Bones				Sprite				fire-sprite	60	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,30	0	-5?5	-5?5	-5?5	2?15	0	0	0?360	0	0	0,255,0	255	80	128						10
ft-Freezing The Lifeblood	New Emitter			perm	30		Node Pos	bip01 r hand			Disc	World	Polar		strike	15	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0?360	0	0	64,0	69	241	44						2
ft-Freezing The Lifeblood	New Emitter			perm	30		Node Pos	bip01 l hand			Disc	World	Polar		strike	15	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0?360	0	0	64,0	69	241	44						2
ft-Freezing The Lifeblood-Hit	sickColour			perm	20		Node Pos	bip01 Spine2			Sprite				flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	-10?10	-10?10	-10?10	8	0	0	0?360	0	0	0,255,128,64,0	51	0?202	0?16						9
ft-Freezing The Lifeblood-Hit	start			15	15		Node Pos	bip01 Spine2			Sprite				flare-1	60	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	-10?10	-10?10	-10?10	80,0	0	0	0?360	0	0	0,255,0	51	0?202	0?16						5
ft-Freezing The Lifeblood-Hit	L thigh			perm	5		Node Pos	bip01 L calf			Sprite				flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	-5?5	-5?5	-5?5	8	0	0	0?360	0	0	0,255,128,64,0	51	0?202	0?16						2
ft-Freezing The Lifeblood-Hit	R thigh			perm	5		Node Pos	bip01 R calf			Sprite				flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	-5?5	-5?5	-5?5	8	0	0	0?360	0	0	0,255,128,64,0	51	0?202	0?16						2
