sp-Dragon Disciple Cone Breath Acid	smoke emit	10		20	600		Object YPR				Sprite	Same as Emitter	Polar	Cartesian	fire-sprite	120	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?30	0	-30?30		30?360	5?40	0	0	0?360	0	0	0,16,0	0	255	144						100
sp-Dragon Disciple Cone Breath Acid	Fire Strike			30	75		Object YPR				Disc	Same as Emitter	Polar		flare	30	Add	0				0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	64,0	0	0	0	0	0	0	0	0	0	-30?30	0	0,360	20?60	0	0	0?720	0	0	0,255,0	0	255	144						20
sp-Dragon Disciple Cone Breath Acid	Fire Strike 2			30	300		Object YPR				Disc	Same as Emitter	Polar		flare	30	Add	0				0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-30?30	0	0,360	0,10	0	0	0?720	0	0	0,255,0	0	255	144						30
sp-Dragon Disciple Cone Breath Cold	smoke emit	10		20	600		Object YPR				Sprite	Same as Emitter	Polar	Cartesian	fire-sprite	120	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?30	0	-30?30		30?330	5?40	0	0	0?360	0	0	0,16,0	255	255	255						100
sp-Dragon Disciple Cone Breath Cold	Fire Strike			30	100		Object YPR				Sprite	Same as Emitter	Polar		flare-big	30	Add	0				0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	64,0	0	0	0	0	0	0	0	0	0	-30?30	0	0,360	20?60	0	0	0?720	0	0	0	0	128	255						20
sp-Dragon Disciple Cone Breath Cold	fire strike 3 sparklies			30	50		Object YPR				Sprite	Same as Emitter	Polar		flare-1	30	Add	0				0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	255,0	0	0	0	0	0	0	0	0	0	-30?30	0	0,360	1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,	0	0	0,360	0	0	0	255	255	255						100
sp-Dragon Disciple Cone Breath Electricity	Fire Strike			30	100		Object YPR				Sprite	Same as Emitter	Polar		flare-big	30	Add	0				0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	64,0	0	0	0	0	0	0	0	0	0	-30?30	0	0,360	20?60	0	0	0?720	0	0	0	0	128	255						20
sp-Dragon Disciple Cone Breath Electricity	fire strike 3 sparklies			30	50		Object YPR				Sprite	Same as Emitter	Polar		flare-1	30	Add	0				0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	255,0	0	0	0	0	0	0	0	0	0	-30?30	0	0,360	1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,1,30,20,25,6,26,15,2,28,3,	0	0	0,360	0	0	255,0	255,64,64,64,64	255,128,128,128,128	255,255							100
sp-Dragon Disciple Cone Breath Electricity	water droplets	15		30	30		Object YPR	bip01 head			Sprite	Same as Emitter	Polar	Cartesian	flare-1	5	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-30?30	0	0,360	3?15	0	0	0?360	0	0	255,0	255,64,64,64,64	255,128,128,128,128	255,255						5
sp-Dragon Disciple Cone Breath Fire	smoke emit	10		20	600		Object YPR				Sprite	Same as Emitter	Polar	Cartesian	fire-sprite	120	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?30	0	-30?30		30?330	5?40	0	0	0?360	0	0	0,16,0	255	255	255						100
