sp-Eldritch Blast-hit	Fire	0	Point	8	100		Object Pos		Cartesian	Polar	Sprite	World	Polar	Polar	flare-1	30	Add	0				0			0	0	0	0	10	0	 	 	 					 	0	0	0	0	0	0	0	0		0		0	0		0?360	0	0,100	5?20	0	0	0,360			128,0	100?255	0?32	0?130						10
sp-Eldritch Blast-hit	fire2	0	Point	8	100		Object Pos		Cartesian	Polar	Sprite	World	Polar	Cartesian	flare-1	30	Add	0				0			0	0	0	0	10	0	 	 	 					 	0	0	0	0	0	0	0	0		0		0	0	0	0?360	0	0,80	10,0	0	0	0?360			255,0	255(1),200(5)	255(1),32(5)	255(1),130(5)						20
sp-Eldritch Blast-hit	flashes	0	Point	8	10		Object Pos		Cartesian	Polar	Sprite	Same as Emitter	Polar	Cartesian	flare-3	5	Add	0				0			0	0	0	0	10	0	 	 	 					 	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	80,0	0	0	0?360			255,0	150	64	130						30
sp-Eldritch Blast-hit	big flash	0	Point	0	1		Object Pos		Cartesian	Polar	Sprite	Same as Emitter	Polar	Cartesian	flare-big	2	Add	0				0			0	0	0	0	10	0	 	 	 					 	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	100	0	0	0?360			255,0	255	255	255						1
sp-Eldritch Blast-proj	fire2	0	Point	perm	300		Object Pos		Cartesian	Polar	Sprite	World	Polar	Cartesian	flare-1	30	Add	0				0			0	0	0	0	10	0	 	 	 					 	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	10	0	0	0?360			255,0	255(1),200(5)	255(1),32(5)	255(1),130(5)						200
sp-Eldritch Blast-proj	Fire	0	Point	perm	150		Object Pos		Cartesian	Polar	Sprite	World	Cartesian	Polar	flare-1	30	Add	0				0			0	0	0	0	10	0	 	 	 					 	0	0	0	0	0	0	0	0		0		0?360	0	20	0	0	0	14	0	0	0,360			128,0	100?255	0?32	0?130						50
sp-Eldritch Blast-proj	flashes	0	Point	perm	10		Object Pos		Cartesian	Polar	Sprite	Same as Emitter	Polar	Cartesian	flare-1	30	Add	0				0			0	0	0	0	10	0	 	 	 					 	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	20	0	0	0?360			255,0	150	64	130						30
sp-Eldritch Cone	fire2	0	Point	30	300		Object YPR				Sprite	Same as Emitter	Polar		flare-1	30	Add	0				0			0	0	0	0	0	0	 	 	 					 	0	0	0	0	0	0	0	0		0		0	0	0	-30?30	0	0,360	12	0	0	0?360			255,0	255(1),200(5)	255(1),32(5)	255(1),130(5)						200
sp-Eldritch Cone	Fire	0	Point	30	150		Object YPR				Sprite	Same as Emitter	Polar		flare-1	30	Add	0				0			0	0	0	0	0	0	 	 	 					 	0	0	0	0	0	0	0	0		0	0	0	0	0	-30?30	0	0,360	16	0	0	0,360			128,0	100?255	0?32	0?130						50
sp-Eldritch Doom	dart	10		5	60		Node Pos	bip01 r hand			Disc	Same as Emitter	Polar		flare-big	60	Add	0				0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0,360	10,0	0	0	0	0	0	255,0	255	128	255						10
sp-Eldritch Doom	dart	10		5	60		Node Pos	bip01 r hand			Disc	Same as Emitter	Polar		flare-big	60	Add	0				0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	165	0	0,360	10,0	0	0	0	0	0	255,0	255	128	255						10
sp-Eldritch Doom	dart	10		5	60		Node Pos	bip01 r hand			Disc	Same as Emitter	Polar		flare-big	60	Add	0				0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0,360	10,0	0	0	0	0	0	255,0	255	128	255						10
sp-Eldritch Doom	dart	10		5	60		Node Pos	bip01 r hand			Disc	Same as Emitter	Polar		flare-big	60	Add	0				0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135	0	0,360	10,0	0	0	0	0	0	255,0	255	128	255						10
