sp-Accuracy	bullseye			60	1		Node Pos	bip01 head			Sprite	Same as Emitter			bullseye	60	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	180	0	0	0,240,0	3,0	3,0	200,0						1
sp-Acid Fog	smoke emit			perm	600		Object YPR				Sprite	Same as Emitter	Polar	Cartesian	fire-sprite	120	Blend	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?30	0	0?360		0?240	5?40	0	0	0?360	0	0	0,16,0	0	255	144						100
sp-Appraising Touch	aura	10		perm	30		Node Pos	bip01 head			Sprite				flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4?10	0	0	0	0	0	0,200,150,100,50,0	200?255	200?255	0?64						
sp-Appraising Touch	startup			5	200		Node Pos	bip01 head			Sprite				flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4,20	0	0	0	0	0	0,200,150,100,50,0	200?255	200?255	0?64						
sp-Axiomatic Storm	ice ice baby		Model Verts	perm	80						Sprite	World	Polar		shard	10	Add	0		shard		0	0	0	0	0	0	0	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1600	0	-240?240	0	-240?240	5?25	0	0		0		0,255,255,255,255,255,255,255,0	211	211	211						20
sp-Axiomatic Storm	ground busts discs	20	Point	perm	120		World		Polar		Disc	World	Polar	Cartesian	fire-sprite	10	Add	0		Shard-Breaking		0			0	0	0	0	2	0													0	0	0	0				20?-20	0	0	-250?250	0	-250?250	0,40	0	0	0?360	0	0	64,0	211	211	211						20
sp-Axiomatic Storm	circle bounding	20	Point	perm	120		World		Polar		Disc	World	Polar	Cartesian	fire-sprite	10	Add	0		Shard-Breaking		0			0	0	0	0	2	0													0	0	0	0				20?-20	0	0	0?360	0	250	0,40	0	0	0?360	0	0	64,0	211	211	211						20
sp-Axiomatic Storm-hit	Blast blurry	0		30	100						Sprite		Polar		flare-big	30	Add	0				0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?360	0?180	0,70	10?30	0	0	0	0	0	64,0	76	255	0						
sp-Axiomatic Storm-hit	ring booms	0		20	10						Disc		Polar		flare-3	5	Add	0				0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,200	0	0	0	0	0	128,0	76	255	0						
sp-Axiomatic Storm-hit	body steam	0		10	100		World				Sprite		Polar		fire-sprite	90	Add	0				0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,40	0	0?360	0	0?30	5,30	0	0	0?360	0	0	32,0	76	255	0						
