sp-All Seeing Eyes	pupil			30	4		Node Pos	bip01 head			Sprite		Cartesian		eye-Pupil	60	Add	0				0	0	0	0	0	0	10	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	10,50	0	0	180	0	0	0,128,0	0,238	0,130	0,238						2
sp-All Seeing Eyes	eyes	15		30	4		Node Pos	bip01 head			Sprite		Cartesian		eye-noPupil	60	Add	0				0	0	0	0	0	0	10	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	10,50	0	0	180	0	0	0,128,0	0,238	0,130	0,238						2
sp-Beguiling Influence	emotion particles			60	30		Node Pos	bip01 head			Sprite		Polar	Polar	flare-1	60	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0?1	0	0	0?360	0	0?20	0,5,0	0	0	0?360	0	0	255	200?255	96?128	200?255						
sp-Beguiling Influence	emo particles 2			60	30		Node Pos	bip01 head			Sprite		Polar	Polar	flare-1	90	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?1	0	0	0?360	0	0?20	0,15,0	0	0	0?360	0	0	64	200?255	32?96	200?255						
sp-Breath of the Night				perm	20						Sprite		Polar		fire-sprite	200	Blend	0				0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?360	0	0,240	30?60	0	0	0?360	0	0	0,40,0	255	255	255						5
sp-Breath of the Night-hit	hittin			perm	5						Sprite		Polar		fire-sprite	90	Blend	0				0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?360	0	#radius	20?40	0	0	0?360	0	0	0,60,0	255	255	255						5
sp-Breath of the Night-hit	New Emitter			15	10						Sprite		Polar		fire-sprite	30	Add	0				0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0?360	0	#radius	20?40	0	0	0?360	0	0	0,255,0	255	255	255						5
sp-Dark One's Own Luck	sparklemotion			120	5		Node Pos	bip01 head			Sprite				flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#radius	0	0	0?360	0	0	128,0	148	0	211						1
sp-Dark One's Own Luck	New Emitter			15	30		Node Pos	bip01 head			Sprite				flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	#radius	0	0	0?360	0	0	64,0	255	255	255						1
sp-Leaps and Bounds	Heart Flashes			0	1						Sprite		Polar		flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,200	0		0	0	30,10,20,15,30,10,5,20,30,10,20,15,30,10,5,20,30,10,20,15,30,10,5,20,30,10,20,15,30,10,5,20,30,10,20,15,30,10,5,20,30,10,20,15,30,10,5,20,	0	0	0,-720	0	0	255,0	0,0	255,255	255,0						
sp-Leaps and Bounds	sparkles 1			30	200						Sprite		Polar		flare-1	30	Add	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0,200	0	0?360	0	0?60	5,0	0	0	0	0	0	0,128,0	0,0	255,255	255,0		-36	-122	43	29	
